Date,Year,Month,# drugs,# price changes,# price changes (%),TRx weighted WAC,Sales weighted WAC,M/M Percent change,Y/Y Percent change
2015-01-01,2015,1,908,474,0.5220264317180616,72.57272471917057,4123.458878632247,0.015581104716514194,0.0
2015-02-01,2015,2,908,65,0.07158590308370044,76.18048158981817,4193.0294925550625,0.016871906807008452,0.0
2015-03-01,2015,3,908,61,0.0671806167400881,78.28039093970646,4264.554599861083,0.017058097834278918,0.0
2015-04-01,2015,4,908,54,0.05947136563876652,80.39010238582215,4221.435067967725,-0.010111145462825655,0.0
2015-05-01,2015,5,908,62,0.06828193832599119,77.65501788268692,4376.901532975904,0.03682787073710059,0.0
2015-06-01,2015,6,908,145,0.15969162995594713,86.21112616531104,4636.7327541159675,0.059364191582212955,0.0
2015-07-01,2015,7,908,137,0.15088105726872247,83.12170016868232,4460.515755256858,-0.03800456230794924,0.0
2015-08-01,2015,8,908,61,0.0671806167400881,83.98478379887204,4337.764502007805,-0.02751952015961079,0.15902875900399208
2015-09-01,2015,9,908,49,0.053964757709251104,90.7551295373633,4239.285344521653,-0.022702744107147677,0.16893729946934954
2015-10-01,2015,10,908,79,0.08700440528634361,92.73385486522486,3897.537040353576,-0.08061460279141441,0.16440739883265068
2015-11-01,2015,11,908,41,0.04515418502202643,89.8486687522713,4277.953980823006,0.09760444519981237,0.1282871207855319
2015-12-01,2015,12,908,108,0.11894273127753303,89.82261406284101,4475.278446211227,0.04612589716317128,0.14164993161825493
2016-01-01,2016,1,908,420,0.46255506607929514,86.59473710258673,4755.163023132962,0.06254014812389719,0.17523593952000432
2016-02-01,2016,2,908,28,0.030837004405286344,92.89457872198211,4977.736220838029,0.046806638725589655,0.17608014960494878
2016-03-01,2016,3,908,35,0.03854625550660793,93.86752370712045,5056.307458672454,0.01578453223485532,0.1734582253616475
2016-04-01,2016,4,908,74,0.08149779735682819,92.0692044218702,5235.964758786377,0.03553132430777706,0.14976159434219535
2016-05-01,2016,5,908,13,0.014317180616740088,95.38257622025158,5291.396524896324,0.01058673399528276,0.12599541446767293
2016-06-01,2016,6,908,140,0.15418502202643172,100.77787621844753,5299.263685703438,0.0014867834550100767,0.1515348400993286
2016-07-01,2016,7,908,107,0.11784140969162996,97.71682736824972,5211.882933156052,-0.01648922524522134,0.16625893723662313
2016-08-01,2016,8,908,37,0.040748898678414094,103.56023160788229,5207.113702109669,-0.0009150687203740571,0.13717937657482734
2016-09-01,2016,9,908,16,0.01762114537444934,103.347719870385,4887.136623801419,-0.06144998872957419,0.12078630835363427
2016-10-01,2016,10,908,49,0.053964757709251104,105.30300992518606,4868.772999028918,-0.0037575427466188804,0.11736751146476695
2016-11-01,2016,11,908,6,0.006607929515418502,104.50584138826123,5058.171332693837,0.03890062931722116,0.11478005997932013
2016-12-01,2016,12,908,56,0.06167400881057269,99.53920184367983,5299.771485999559,0.047764327741158796,0.10625651244087796
2017-01-01,2017,1,907,5,0.005512679162072767,100.8485184000782,5390.081673529648,0.01704039273554736,0.06097122478315821
2017-02-01,2017,2,907,476,0.5248070562293274,109.33342402229118,5563.2793537885045,0.032132663426867936,0.11212177574698988
2017-03-01,2017,3,905,47,0.051933701657458566,111.30257593509026,6207.825555641136,0.11585724190062563,0.12847734754551451
2017-04-01,2017,4,904,8,0.008849557522123894,110.65755599732209,6237.756735259346,0.0048215239539086685,0.1153813682127692
2017-05-01,2017,5,904,92,0.10176991150442478,117.36592197255007,6326.3709976817645,0.014206110655377246,0.11635786953715907
2017-06-01,2017,6,905,16,0.017679558011049725,117.53112744812869,6343.834099259843,0.0027603663434341286,0.08948952894501844
2017-07-01,2017,7,904,162,0.17920353982300885,116.44594849622416,6429.504266825292,0.01350447792691245,0.07625176120892913
2017-08-01,2017,8,904,88,0.09734513274336283,120.65743446884808,6333.891003706837,-0.014871016356859168,0.08159339703500576
2017-09-01,2017,9,900,27,0.03,115.40720625847635,6061.963886829941,-0.04293208025173689,0.08008603212684308
2017-10-01,2017,10,901,10,0.011098779134295227,123.96869393028108,5982.855809910666,-0.013049908972757707,0.0792267678841601
2017-11-01,2017,11,899,35,0.0389321468298109,119.29678217915234,6144.128761670551,0.02695584799030848,0.0779121233742545
2017-12-01,2017,12,901,10,0.011098779134295227,113.38498232494818,6435.435653205125,0.04741223741140632,0.07906859731927914
2018-01-01,2018,1,900,88,0.09777777777777778,116.21317077238814,6597.10268577575,0.025121381252581898,0.08130836702668441
2018-02-01,2018,2,901,507,0.562708102108768,125.05403097000395,7108.9387961519,0.07758498461449426,0.11277741516165475
2018-03-01,2018,3,900,5,0.005555555555555556,123.72392223753523,7255.435649456604,0.020607415186075784,0.08729333570186967
2018-04-01,2018,4,900,18,0.02,128.8258511738093,7287.999812750317,0.004488243693010041,0.08756924977355862
2018-05-01,2018,5,899,11,0.012235817575083427,129.84544508483648,7314.622922285712,0.003653006341852283,0.08626592142659341
2018-06-01,2018,6,900,6,0.006666666666666667,126.88913619886422,7342.7241993780935,0.003841794360549322,0.08608220725788375
2018-07-01,2018,7,901,8,0.008879023307436182,130.1185946687524,7445.9118792113095,0.014053051296949892,0.08759240524792504
2018-08-01,2018,8,898,44,0.04899777282850779,129.94721610091364,7369.426126357231,-0.010272180774476225,0.08041208508190012
2018-09-01,2018,9,894,8,0.008948545861297539,127.71373043047171,7274.027331154088,-0.012945213584805826,0.07768624858344368
2018-10-01,2018,10,892,8,0.008968609865470852,137.70236078775557,7291.666217227902,0.0024249133624050234,0.07630822988878608
2018-11-01,2018,11,891,15,0.016835016835016835,124.79016788097144,7549.030771421746,0.03529571246497443,0.07627438160874431
2018-12-01,2018,12,892,13,0.014573991031390135,120.73712007135757,7920.924651044298,0.04926379172150486,0.07753709824664726
2019-01-01,2019,1,894,28,0.03131991051454139,126.54009537354736,8615.02857077838,0.08762915320026066,0.07551796805244554
2019-02-01,2019,2,893,425,0.47592385218365063,135.56959484451863,9077.1380731496,0.05363992685278651,0.06072894633163613
2019-03-01,2019,3,893,15,0.0167973124300112,131.19009728490707,9215.680678850902,0.015262806909494442,0.060906951274002676
2019-04-01,2019,4,893,16,0.01791713325867861,137.62576956971526,9537.36120584975,0.03490578050703008,0.060740598853487336
2019-05-01,2019,5,892,25,0.028026905829596414,133.81648753557283,9552.214156686816,0.0015573438518776683,0.061171261786757074
2019-06-01,2019,6,895,3,0.0033519553072625698,136.3592735256333,9976.98214962238,0.044468014008900214,0.061447850521955276
2019-07-01,2019,7,896,15,0.016741071428571428,137.68012242076975,10153.523205955758,0.01769483534057059,0.06101183627668499
2019-08-01,2019,8,896,27,0.030133928571428572,130.11808241908332,10124.387789859073,-0.0028694883052609033,0.058720653594136335
2019-09-01,2019,9,896,14,0.015625,134.52112028939501,10226.288071854888,0.010064833954491759,0.05971727329083312
2019-10-01,2019,10,897,4,0.004459308807134894,134.5783377125625,10021.91039117718,-0.019985519598279544,0.059780013100192826
2019-11-01,2019,11,899,19,0.021134593993325918,118.81660045154128,10400.751554853738,0.03780129225761897,0.05950967533699127
2019-12-01,2019,12,900,2,0.0022222222222222222,128.86174707928768,11387.66852332435,0.09488900520944044,0.05916118182490115
2020-01-01,2020,1,903,6,0.006644518272425249,121.71399490832172,11671.600941857596,0.024933323089945336,0.058742260070306036
2020-02-01,2020,2,903,493,0.5459579180509413,132.77790266153755,12401.206192608968,0.06251115458675471,0.05082101019728123
2020-03-01,2020,3,905,14,0.015469613259668509,132.06690096605035,12385.995089795579,-0.0012265825256946306,0.05110587424588305
2020-04-01,2020,4,903,1,0.0011074197120708748,135.96515119465707,12764.03979812316,0.030521948829048018,0.05107964687998329
2020-05-01,2020,5,905,5,0.0055248618784530384,130.25999684426944,12576.268488324733,-0.014710962420066864,0.05051049213467313
2020-06-01,2020,6,908,1,0.0011013215859030838,139.8380603196978,12756.688061847748,0.014346033856585505,0.050639162769665735
2020-07-01,2020,7,908,1,0.0011013215859030838,135.46307734922794,12498.274542761246,-0.020257101046419423,0.05065155797333757
